superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.8406896609714559	0.5552032587246403	0.8095238095238095	0.8571428571428571	13.619047619047619	7526.0	21
a.1.2	0.991030399434429	0.08641267414203195	0.0	0.6666666666666666	1.3333333333333333	7544.0	3
a.100.1	0.6875688934272248	0.1402491885223324	0.5294117647058824	0.7058823529411765	14.823529411764707	7530.0	17
a.102.1	0.9904739533788923	0.6334531301108672	0.8666666666666667	1.0	12.4	7532.0	15
a.102.3	1.0	1.0	1.0	1.0	1.5	7543.0	4
a.102.4	0.6803876071775833	0.14486485818365186	0.4	0.6	3.6	7542.0	5
a.103.1	0.999867461895295	0.5833333333333334	0.5	1.0	1.0	7545.0	2
a.104.1	0.8614783860538703	0.3348802352548499	0.7777777777777778	0.7777777777777778	4.0	7538.0	9
a.11.2	0.9999005832449628	0.6944444444444445	0.6666666666666666	1.0	1.3333333333333333	7544.0	3
a.111.1	0.9854078296217744	0.5419742011308085	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
a.114.1	0.0851557322730285	7.236412497488447e-05	0.0	0.0	1.0	7545.0	2
a.116.1	0.9998563980205019	0.4986111111111111	0.3333333333333333	1.0	1.3333333333333333	7544.0	3
a.118.1	0.6546926212304037	0.1127319650679831	0.6382978723404256	0.9148936170212766	43.659574468085104	7500.0	47
a.118.17	0.5189414026249503	0.000999202247844418	0.0	0.0	2.0	7543.0	4
a.118.26	0.9999668654738237	0.875	0.5	1.0	1.0	7545.0	2
a.118.8	0.7199698903150767	0.06745162870824543	0.34210526315789475	0.7894736842105263	26.894736842105264	7509.0	38
a.118.9	0.9996862017148412	0.859766573295985	1.0	1.0	3.6	7542.0	5
a.123.1	1.0	1.0	1.0	1.0	1.6666666666666667	7541.0	6
a.124.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.126.1	0.8260427712972782	0.5001462519746582	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.127.1	0.9895131706885885	0.598423223495941	1.0	1.0	3.2	7542.0	5
a.128.1	0.9261961879914254	0.3800237583919862	0.5555555555555556	0.7777777777777778	6.444444444444445	7538.0	9
a.130.1	0.5852360116679926	0.027279822844686896	0.0	0.2	2.8	7542.0	5
a.132.1	0.9896837504790543	0.6727522076948619	1.0	1.0	6.888888888888889	7538.0	9
a.133.1	0.9999779073877696	0.9305555555555555	1.0	1.0	2.0	7544.0	3
a.138.1	0.983571967183447	0.7508656547374458	0.9166666666666666	0.9166666666666666	6.5	7535.0	12
a.140.3	0.9997680275715801	0.4694444444444444	0.3333333333333333	1.0	1.3333333333333333	7544.0	3
a.143.1	0.8778992710404241	0.0005997788833609729	0.0	0.0	1.0	7545.0	2
a.149.1	0.8066454577589254	0.34276788785135376	0.3333333333333333	0.6666666666666666	1.3333333333333333	7544.0	3
a.152.1	0.9999507389162562	0.9480272108843538	1.0	1.0	5.142857142857143	7540.0	7
a.156.1	0.8257469283125607	0.054328579625811446	0.2	0.2	3.6	7542.0	5
a.16.1	0.5484527597330858	0.0007843442496443758	0.0	0.0	2.5	7543.0	4
a.160.1	0.756429297617469	0.5820134067632746	0.8333333333333334	0.8333333333333334	5.0	7541.0	6
a.17.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.182.1	0.2562853481795688	0.00011765556450615059	0.0	0.0	1.3333333333333333	7544.0	3
a.186.1	0.9386679920477137	0.0018637403046877412	0.0	0.0	1.0	7545.0	2
a.2.17	0.7972671438670909	0.04006824563544029	0.0	0.6666666666666666	2.0	7544.0	3
a.2.3	0.9565632458233889	0.46733210359366567	0.8	0.8	2.4	7542.0	5
a.2.7	0.9569081709311061	0.15902790412725512	0.25	0.75	3.0	7543.0	4
a.20.1	0.996376811594203	0.3768315018315018	0.3333333333333333	0.6666666666666666	1.3333333333333333	7544.0	3
a.204.1	0.9965615745038235	0.765313718890507	0.8333333333333334	1.0	4.666666666666667	7541.0	6
a.21.1	1.0	1.0	1.0	1.0	3.0	7541.0	6
a.211.1	0.6936779684389881	0.0831744543721419	0.3333333333333333	0.6	11.733333333333333	7532.0	15
a.213.1	0.9984484816337357	0.710941121760905	0.8333333333333334	1.0	4.0	7541.0	6
a.22.1	0.6095318295139084	0.23168214381636645	0.7142857142857143	0.7857142857142857	8.571428571428571	7533.0	14
a.231.1	0.9829357190192181	0.020170618854829382	0.0	0.0	1.0	7545.0	2
a.238.1	0.9993187243071211	0.8177084184996589	0.8333333333333334	1.0	4.666666666666667	7541.0	6
a.24.10	0.9985458507010232	0.7953156324214704	1.0	1.0	6.0	7540.0	7
a.24.13	0.9829422422555129	0.010426022569790194	0.0	0.0	1.5	7543.0	4
a.24.16	0.5413683768615494	0.16712717583982017	0.5	0.5	3.0	7543.0	4
a.24.19	0.9488402915838303	0.001218167591407028	0.0	0.0	1.0	7545.0	2
a.24.3	0.7086978614351361	0.5000871924968759	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.24.9	0.9073564311193656	0.7579541853702161	0.7777777777777778	0.8888888888888888	1.7777777777777777	7538.0	9
a.243.1	0.9485352598091198	0.014973674453825548	0.0	0.3333333333333333	2.0	7544.0	3
a.25.1	0.9213931833820862	0.4018856238832657	0.9310344827586207	1.0	22.0	7518.0	29
a.25.2	0.24131875414181575	9.025446406850581e-05	0.0	0.0	1.0	7545.0	2
a.25.3	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.25.4	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.252.1	0.9999005964214711	0.5	0.0	1.0	1.0	7545.0	2
a.26.1	0.9625032022369725	0.3614492140667427	0.75	0.875	14.916666666666666	7523.0	24
a.266.1	0.7096367974549311	0.003921651314615458	0.0	0.0	1.3333333333333333	7544.0	3
a.27.1	0.9864247821144373	0.6164874454750954	0.5714285714285714	0.8571428571428571	1.7142857142857142	7540.0	7
a.278.1	0.9864499094082815	0.06398287275972829	0.0	1.0	3.0	7543.0	4
a.28.1	0.9609785202863963	0.45285281095665403	0.8	1.0	2.8	7542.0	5
a.28.3	0.48127651113467657	0.004573187110221593	0.0	0.0	1.3333333333333333	7544.0	3
a.280.1	0.9485420808482439	0.0013414155937520424	0.0	0.0	1.0	7545.0	2
a.281.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.287.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
